Overall rank,Year,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,2019,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
2,2019,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
3,2019,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
4,2019,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
5,2019,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
6,2019,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
7,2019,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
8,2019,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38
9,2019,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308
10,2019,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
11,2019,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29
12,2019,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093
13,2019,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
14,2019,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
15,2019,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278
16,2019,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
17,2019,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265
18,2019,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21
19,2019,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128
20,2019,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036
21,2019,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
22,2019,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151
23,2019,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
24,2019,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183
25,2019,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097
26,2019,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
27,2019,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
28,2019,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132
29,2019,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
30,2019,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
31,2019,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
