Date,Coin,Price,Open,High,Low,Vol.,Change %
10/02/2024,ETH,2508.31,2486.24,2514.83,2483.50,504.80K,0.89%
9/02/2024,ETH,2486.24,2419.56,2522.96,2419.16,540.92K,2.76%
8/02/2024,ETH,2419.56,2424.66,2461.00,2412.01,350.33K,-0.21%
7/02/2024,ETH,2424.64,2372.65,2443.71,2354.46,355.40K,2.19%
6/02/2024,ETH,2372.65,2301.83,2390.53,2299.24,381.23K,3.08%
5/02/2024,ETH,2301.83,2289.78,2336.63,2271.28,244.98K,0.53%
4/02/2024,ETH,2289.78,2296.50,2310.34,2272.02,180.39K,-0.29%
3/02/2024,ETH,2296.50,2309.28,2329.50,2293.10,137.80K,-0.55%
2/02/2024,ETH,2309.28,2304.28,2324.57,2282.87,246.89K,0.22%
1/02/2024,ETH,2304.28,2283.14,2311.31,2240.79,323.61K,0.93%
31/01/2024,ETH,2283.14,2343.11,2350.80,2266.80,408.79K,-2.56%
30/01/2024,ETH,2343.11,2317.79,2389.23,2298.85,387.12K,1.09%
29/01/2024,ETH,2317.79,2256.92,2320.97,2237.69,318.84K,2.70%
28/01/2024,ETH,2256.92,2267.91,2306.43,2240.14,216.93K,-0.48%
27/01/2024,ETH,2267.91,2267.56,2282.16,2252.31,151.26K,0.02%
26/01/2024,ETH,2267.55,2217.71,2280.83,2195.88,377.79K,2.25%
25/01/2024,ETH,2217.71,2234.64,2242.85,2173.82,344.11K,-0.76%
24/01/2024,ETH,2234.64,2243.72,2264.66,2198.89,373.25K,-0.41%
23/01/2024,ETH,2243.74,2313.65,2351.18,2169.54,750.52K,-3.02%
22/01/2024,ETH,2313.64,2457.06,2465.97,2304.06,560.84K,-5.84%
21/01/2024,ETH,2457.06,2472.04,2481.63,2453.48,126.52K,-0.61%
20/01/2024,ETH,2472.03,2491.81,2491.81,2455.07,143.98K,-0.79%
19/01/2024,ETH,2491.81,2469.77,2504.09,2418.61,443.42K,0.89%
18/01/2024,ETH,2469.77,2531.26,2548.79,2430.97,467.22K,-2.43%
17/01/2024,ETH,2531.26,2588.63,2592.88,2510.00,380.90K,-2.22%
16/01/2024,ETH,2588.64,2511.95,2613.71,2501.00,395.07K,3.05%
15/01/2024,ETH,2511.94,2473.96,2553.24,2472.69,332.15K,1.54%
